Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Venue_Name,Toss_Winner_Id,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name
729318,28-Apr-14,4,2,Dubai International Cricket Stadium,4,5,4,367,474,489,Abu Dhabi
729320,29-Apr-14,1,5,Sheikh Zayed Stadium,5,?,5,310,472,495,Abu Dhabi
729322,30-Apr-14,7,11,?,7,15,11,299,482,481,?
733976,2-May-14,3,1,JSCA International Stadium Complex,3,34,3,35,495,500,Ranchi
733978,3-May-14,7,4,Wankhede Stadium,4,5,7,372,497,499,Mumbai
733980,3-May-14,6,5,Feroz Shah Kotla,5,7,5,339,485,489,Delhi
733982,4-May-14,2,11,M Chinnaswamy Stadium,2,4,2,110,482,496,Bangalore
733984,5-May-14,5,1,"Sardar Patel Stadium, Motera",1,10,5,370,500,498,Ahmedabad
733986,5-May-14,6,3,Feroz Shah Kotla,3,8,3,147,502,497,Delhi
733988,6-May-14,7,2,Wankhede Stadium,2,19,7,57,489,503,Mumbai
733990,7-May-14,6,1,Feroz Shah Kotla,6,8,1,40,497,499,Delhi
733992,7-May-14,4,3,Barabati Stadium,3,44,4,305,482,506,Cuttack
733994,8-May-14,5,11,"Sardar Patel Stadium, Motera",5,32,11,299,495,500,Ahmedabad
733996,9-May-14,2,4,M Chinnaswamy Stadium,2,32,4,367,489,503,Bangalore
733998,10-May-14,6,11,Feroz Shah Kotla,11,8,11,94,502,497,Delhi
734000,10-May-14,7,3,Wankhede Stadium,3,4,3,147,482,496,Mumbai
734002,11-May-14,4,1,Barabati Stadium,1,9,1,40,500,498,Cuttack
734004,11-May-14,2,5,M Chinnaswamy Stadium,2,5,5,310,489,518,Bangalore
734006,12-May-14,11,7,"Rajiv Gandhi International Stadium, Uppal",11,7,7,208,482,496,Hyderabad
734008,13-May-14,3,5,?,5,5,3,35,497,499,?
734010,13-May-14,2,6,M Chinnaswamy Stadium,6,16,2,27,503,518,Bangalore
734012,14-May-14,11,4,"Rajiv Gandhi International Stadium, Uppal",4,6,4,62,496,506,Hyderabad
734014,14-May-14,1,7,Barabati Stadium,1,6,1,46,495,500,Cuttack
734016,15-May-14,5,6,"Sardar Patel Stadium, Motera",6,62,5,85,489,518,Ahmedabad
734018,18-May-14,3,2,JSCA International Stadium Complex,3,5,2,110,497,499,Ranchi
734020,18-May-14,11,1,"Rajiv Gandhi International Stadium, Uppal",11,7,1,232,500,498,Hyderabad
734022,19-May-14,5,7,"Sardar Patel Stadium, Motera",7,25,7,19,489,518,Ahmedabad
734024,19-May-14,6,4,Feroz Shah Kotla,4,4,4,374,482,506,Delhi
734026,20-May-14,11,2,"Rajiv Gandhi International Stadium, Uppal",2,7,11,187,495,500,Hyderabad
734028,20-May-14,1,3,Eden Gardens,1,8,1,46,502,499,Kolkata
734030,21-May-14,4,7,"Punjab Cricket Association Stadium, Mohali",7,7,7,383,482,496,Chandigarh
734032,22-May-14,1,2,Eden Gardens,2,30,1,46,495,498,Kolkata
734034,22-May-14,3,11,JSCA International Stadium Complex,11,6,11,187,497,499,Ranchi
734036,23-May-14,7,6,Wankhede Stadium,6,15,7,19,489,518,Mumbai
734038,23-May-14,4,5,"Punjab Cricket Association Stadium, Mohali",5,16,4,100,482,506,Chandigarh
734040,24-May-14,2,3,M Chinnaswamy Stadium,3,8,3,20,495,500,Bangalore
734042,24-May-14,1,11,Eden Gardens,1,4,1,31,502,497,Kolkata
734044,25-May-14,4,6,"Punjab Cricket Association Stadium, Mohali",4,7,4,345,482,496,Chandigarh
734046,25-May-14,7,5,Wankhede Stadium,7,5,7,372,503,518,Mumbai
734048,27-May-14,4,1,Eden Gardens,4,28,1,232,500,489,Kolkata
734050,28-May-14,3,7,Brabourne Stadium,3,7,3,21,496,497,Mumbai
734052,30-May-14,3,4,?,3,24,4,41,482,518,?
734054,1-Jun-14,1,4,M Chinnaswamy Stadium,1,3,1,96,482,497,Bangalore
829710,8-Apr-15,1,7,Eden Gardens,1,7,1,190,489,499,Kolkata
829712,9-Apr-15,3,6,"MA Chidambaram Stadium, Chepauk",6,?,3,73,501,496,Chennai
829714,10-Apr-15,4,5,Maharashtra Cricket Association Stadium,4,26,5,310,504,505,Pune
829716,11-Apr-15,3,11,"MA Chidambaram Stadium, Chepauk",3,45,3,2,501,496,Chennai
829718,11-Apr-15,1,2,Eden Gardens,2,?,2,162,489,499,Kolkata
829720,12-Apr-15,6,5,Feroz Shah Kotla,5,?,5,394,504,505,Delhi
829722,12-Apr-15,7,4,Wankhede Stadium,7,18,4,197,495,520,Mumbai
829724,13-Apr-15,2,11,M Chinnaswamy Stadium,11,8,11,187,502,501,Bangalore
829726,14-Apr-15,5,7,"Sardar Patel Stadium, Motera",7,7,5,306,495,504,Ahmedabad
829728,30-Apr-15,1,3,Eden Gardens,1,7,1,334,495,481,Kolkata
829730,15-Apr-15,4,6,Maharashtra Cricket Association Stadium,4,5,6,260,505,503,Pune
829732,16-Apr-15,11,5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,5,6,5,85,506,489,Visakhapatnam
829734,17-Apr-15,7,3,Wankhede Stadium,7,6,3,73,495,481,Mumbai
829736,18-Apr-15,11,6,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,4,6,154,506,489,Visakhapatnam
829738,18-Apr-15,4,1,Maharashtra Cricket Association Stadium,1,4,1,334,504,498,Pune
829740,19-Apr-15,5,3,"Sardar Patel Stadium, Motera",3,8,5,85,495,481,Ahmedabad
829742,19-Apr-15,2,7,M Chinnaswamy Stadium,2,18,7,50,501,496,Bangalore
829744,20-Apr-15,6,1,Feroz Shah Kotla,1,6,1,232,504,505,Delhi
829746,21-Apr-15,5,4,"Sardar Patel Stadium, Motera",4,?,4,100,481,489,Ahmedabad
829748,22-Apr-15,11,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,16,11,187,501,496,Visakhapatnam
829750,22-Apr-15,2,3,M Chinnaswamy Stadium,2,27,3,21,494,499,Bangalore
829752,23-Apr-15,6,7,Feroz Shah Kotla,7,37,6,393,504,498,Delhi
829754,24-Apr-15,5,2,"Sardar Patel Stadium, Motera",2,9,2,378,481,489,Ahmedabad
829756,25-Apr-15,7,11,Wankhede Stadium,7,20,7,194,482,505,Mumbai
829758,25-Apr-15,3,4,"MA Chidambaram Stadium, Chepauk",3,97,3,2,494,499,Chennai
829762,26-Apr-15,6,2,Feroz Shah Kotla,2,10,2,296,481,489,Delhi
829764,27-Apr-15,4,11,"Punjab Cricket Association Stadium, Mohali",4,20,11,458,482,505,Chandigarh
829766,7-May-15,1,6,Eden Gardens,1,13,1,67,495,481,Kolkata
829768,29-Apr-15,2,5,M Chinnaswamy Stadium,5,?,2,26,494,506,Bangalore
829770,28-Apr-15,3,1,"MA Chidambaram Stadium, Chepauk",1,2,3,71,502,496,Chennai
829772,1-May-15,6,4,Feroz Shah Kotla,6,9,6,371,501,489,Delhi
829774,1-May-15,7,5,?,5,8,7,208,482,498,?
829776,2-May-15,2,1,M Chinnaswamy Stadium,2,7,2,236,494,506,Bangalore
829778,2-May-15,11,3,"Rajiv Gandhi International Stadium, Uppal",3,22,11,187,495,520,Hyderabad
829780,3-May-15,4,7,?,7,23,7,383,501,496,?
829782,3-May-15,5,6,Brabourne Stadium,6,14,5,85,482,505,Mumbai
829784,4-May-15,3,2,"MA Chidambaram Stadium, Chepauk",3,24,3,21,499,503,Chennai
829786,4-May-15,1,11,Eden Gardens,11,35,1,232,495,481,Kolkata
829788,5-May-15,7,6,Wankhede Stadium,6,5,7,50,482,505,Mumbai
829790,6-May-15,2,4,M Chinnaswamy Stadium,4,138,2,162,501,496,Bangalore
829792,7-May-15,5,11,Brabourne Stadium,5,7,11,216,494,499,Mumbai
829794,8-May-15,3,7,"MA Chidambaram Stadium, Chepauk",3,6,7,400,505,498,Chennai
829796,9-May-15,1,4,Eden Gardens,4,1,1,334,495,482,Kolkata
829798,9-May-15,6,11,?,11,6,11,163,496,489,?
829800,10-May-15,7,2,Wankhede Stadium,2,39,2,110,494,499,Mumbai
829802,10-May-15,3,5,"MA Chidambaram Stadium, Chepauk",3,?,3,35,481,498,Chennai
829804,11-May-15,11,4,"Rajiv Gandhi International Stadium, Uppal",11,5,11,187,495,482,Hyderabad
829806,12-May-15,6,3,Shaheed Veer Narayan Singh International Stadium,3,6,6,15,501,496,Raipur
829808,13-May-15,4,2,"Punjab Cricket Association Stadium, Mohali",2,22,4,374,494,499,Chandigarh
829810,14-May-15,7,1,Wankhede Stadium,1,5,7,400,501,496,Mumbai
829812,15-May-15,11,2,"Rajiv Gandhi International Stadium, Uppal",11,6,2,8,495,482,Hyderabad
829814,16-May-15,4,3,"Punjab Cricket Association Stadium, Mohali",4,7,3,322,498,499,Chandigarh
829816,16-May-15,5,1,Brabourne Stadium,5,9,5,32,502,501,Mumbai
829818,17-May-15,2,6,M Chinnaswamy Stadium,2,?,2,68,482,520,Bangalore
829820,17-May-15,11,7,"Rajiv Gandhi International Stadium, Uppal",11,9,7,403,505,503,Hyderabad
829822,19-May-15,3,7,Wankhede Stadium,7,25,7,221,482,501,Mumbai
829824,20-May-15,2,5,Maharashtra Cricket Association Stadium,2,71,2,110,495,499,Pune
829826,22-May-15,3,2,JSCA International Stadium Complex,3,3,3,73,495,505,Ranchi
829828,24-May-15,7,3,Eden Gardens,3,41,7,57,482,501,Kolkata
980906,9-Apr-16,7,12,Wankhede Stadium,7,9,12,85,482,498,Mumbai
980908,10-Apr-16,1,6,Eden Gardens,1,9,1,334,489,499,Kolkata
980910,11-Apr-16,4,13,"Punjab Cricket Association IS Bindra Stadium, Mohali",13,5,13,254,495,496,Chandigarh
980912,12-Apr-16,2,11,M Chinnaswamy Stadium,11,45,2,110,482,521,Bangalore
980914,13-Apr-16,1,7,Eden Gardens,7,6,7,57,507,489,Kolkata
980916,14-Apr-16,13,12,Saurashtra Cricket Association Stadium,12,7,13,254,496,498,Rajkot
980918,15-Apr-16,6,4,Feroz Shah Kotla,6,8,6,136,489,499,Delhi
980920,16-Apr-16,11,1,"Rajiv Gandhi International Stadium, Uppal",11,8,1,40,495,498,Hyderabad
980922,16-Apr-16,7,13,Wankhede Stadium,13,3,13,254,482,521,Mumbai
980924,17-Apr-16,4,12,"Punjab Cricket Association IS Bindra Stadium, Mohali",12,6,4,345,489,499,Chandigarh
980926,17-Apr-16,2,6,M Chinnaswamy Stadium,6,7,6,355,496,511,Bangalore
980928,18-Apr-16,11,7,"Rajiv Gandhi International Stadium, Uppal",11,7,11,187,482,521,Hyderabad
980930,19-Apr-16,4,1,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,6,1,46,489,499,Chandigarh
980932,20-Apr-16,7,2,Wankhede Stadium,7,6,7,57,495,498,Mumbai
980934,21-Apr-16,13,11,?,11,10,11,299,508,482,?
980936,22-Apr-16,12,2,Maharashtra Cricket Association Stadium,12,13,2,110,505,521,Pune
980938,23-Apr-16,6,7,Feroz Shah Kotla,7,?,6,351,489,499,Delhi
980940,23-Apr-16,11,4,"Rajiv Gandhi International Stadium, Uppal",11,5,11,460,495,498,Hyderabad
980942,24-Apr-16,13,2,Saurashtra Cricket Association Stadium,2,6,13,8,508,497,Rajkot
980944,24-Apr-16,12,1,Maharashtra Cricket Association Stadium,1,2,1,308,505,511,Pune
980946,25-Apr-16,4,7,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,25,7,17,507,518,Chandigarh
980948,26-Apr-16,11,12,"Rajiv Gandhi International Stadium, Uppal",12,34,12,106,509,498,Hyderabad
980950,27-Apr-16,6,13,Feroz Shah Kotla,6,1,13,350,481,489,Delhi
980952,28-Apr-16,7,1,Wankhede Stadium,7,6,7,57,507,518,Mumbai
980954,29-Apr-16,12,13,Maharashtra Cricket Association Stadium,13,3,13,147,505,497,Pune
980956,30-Apr-16,6,1,Feroz Shah Kotla,1,27,6,408,510,481,Delhi
980958,30-Apr-16,11,2,"Rajiv Gandhi International Stadium, Uppal",2,15,11,187,495,482,Hyderabad
980960,1-May-16,13,4,Saurashtra Cricket Association Stadium,13,23,4,374,497,521,Rajkot
980962,1-May-16,12,7,Maharashtra Cricket Association Stadium,7,8,7,57,509,518,Pune
980964,2-May-16,2,1,M Chinnaswamy Stadium,1,5,1,334,481,489,Bangalore
980966,3-May-16,13,6,Saurashtra Cricket Association Stadium,6,8,6,420,505,497,Rajkot
980968,4-May-16,1,4,Eden Gardens,4,7,1,334,495,482,Kolkata
980970,5-May-16,6,12,Feroz Shah Kotla,12,7,12,85,499,518,Delhi
980972,6-May-16,11,13,"Rajiv Gandhi International Stadium, Uppal",11,5,11,299,481,489,Hyderabad
980974,7-May-16,2,12,M Chinnaswamy Stadium,2,7,2,8,505,497,Bangalore
980976,7-May-16,4,6,"Punjab Cricket Association IS Bindra Stadium, Mohali",6,9,4,409,482,498,Chandigarh
980978,8-May-16,7,11,?,7,85,11,73,489,499,?
980980,8-May-16,1,13,Eden Gardens,13,5,13,14,481,518,Kolkata
